constructorStandingsId,raceId,constructorId,points,position,wins,year,old_constructor,constructor
1622,174,6,170,1,10,2000,Ferrari,Ferrari
1630,174,1,162,2,7,2000,McLaren,McLaren
1623,174,3,36,3,0,2000,Williams,Williams
1625,174,22,20,4,0,2000,Benetton,Alpine F1 Team
1624,174,16,20,5,0,2000,BAR,Mercedes
1628,174,17,17,6,0,2000,Jordan,Aston Martin
1631,174,15,6,8,0,2000,Sauber,Alfa Romeo
1626,174,18,0,10,0,2000,Minardi,AlphaTauri
5789,157,6,179,1,9,2001,Ferrari,Ferrari
5790,157,1,102,2,4,2001,McLaren,McLaren
5799,157,3,80,3,4,2001,Williams,Williams
5791,157,15,21,4,0,2001,Sauber,Alfa Romeo
5792,157,17,19,5,0,2001,Jordan,Aston Martin
5793,157,16,17,6,0,2001,BAR,Mercedes
5798,157,22,10,7,0,2001,Benetton,Alpine F1 Team
5797,157,18,0,11,0,2001,Minardi,AlphaTauri
5971,140,6,221,1,15,2002,Ferrari,Ferrari
5972,140,3,92,2,1,2002,Williams,Williams
5973,140,1,65,3,1,2002,McLaren,McLaren
5977,140,4,23,4,0,2002,Renault,Alpine F1 Team
5978,140,15,11,5,0,2002,Sauber,Alfa Romeo
5980,140,17,9,6,0,2002,Jordan,Aston Martin
5979,140,16,7,8,0,2002,BAR,Mercedes
5975,140,18,2,9,0,2002,Minardi,AlphaTauri
6130,123,6,158,1,8,2003,Ferrari,Ferrari
6129,123,3,144,2,4,2003,Williams,Williams
6128,123,1,142,3,2,2003,McLaren,McLaren
6131,123,4,88,4,1,2003,Renault,Alpine F1 Team
6133,123,16,26,5,0,2003,BAR,Mercedes
6132,123,15,19,6,0,2003,Sauber,Alfa Romeo
6135,123,17,13,9,1,2003,Jordan,Aston Martin
6134,123,18,0,10,0,2003,Minardi,AlphaTauri
6307,107,6,262,1,15,2004,Ferrari,Ferrari
6310,107,16,119,2,0,2004,BAR,Mercedes
6308,107,4,105,3,1,2004,Renault,Alpine F1 Team
6309,107,3,88,4,1,2004,Williams,Williams
6311,107,1,69,5,1,2004,McLaren,McLaren
6312,107,15,34,6,0,2004,Sauber,Alfa Romeo
6315,107,17,5,9,0,2004,Jordan,Aston Martin
6316,107,18,1,10,0,2004,Minardi,AlphaTauri
28123,89,4,191,1,8,2005,Renault,Alpine F1 Team
28127,89,1,182,2,10,2005,McLaren,McLaren
28124,89,6,100,3,1,2005,Ferrari,Ferrari
28126,89,3,66,5,0,2005,Williams,Williams
28130,89,16,38,6,0,2005,BAR,Mercedes
28125,89,9,34,7,0,2005,Red Bull,Red Bull
28129,89,15,20,8,0,2005,Sauber,Alfa Romeo
28131,89,17,12,9,0,2005,Jordan,Aston Martin
28132,89,18,7,10,0,2005,Minardi,AlphaTauri
6507,70,4,206,1,8,2006,Renault,Alpine F1 Team
6508,70,6,201,2,9,2006,Ferrari,Ferrari
6509,70,1,110,3,0,2006,McLaren,McLaren
6510,70,11,86,4,1,2006,Honda,Mercedes
6514,70,2,36,5,0,2006,BMW Sauber,Alfa Romeo
6512,70,9,16,7,0,2006,Red Bull,Red Bull
6511,70,3,11,8,0,2006,Williams,Williams
6513,70,5,1,9,0,2006,Toro Rosso,AlphaTauri
6518,70,14,0,12,0,2006,Spyker MF1,Aston Martin
25909,52,6,204,1,9,2007,Ferrari,Ferrari
25911,52,2,101,2,0,2007,BMW Sauber,Alfa Romeo
25912,52,4,51,3,0,2007,Renault,Alpine F1 Team
25913,52,3,33,4,0,2007,Williams,Williams
25917,52,9,24,5,0,2007,Red Bull,Red Bull
25918,52,5,8,7,0,2007,Toro Rosso,AlphaTauri
25915,52,11,6,8,0,2007,Honda,Mercedes
25919,52,12,1,10,0,2007,Spyker,Aston Martin
25910,52,1,218,11,8,2007,McLaren,McLaren
188,35,6,172,1,8,2008,Ferrari,Ferrari
183,35,1,151,2,6,2008,McLaren,McLaren
184,35,2,135,3,1,2008,BMW Sauber,Alfa Romeo
186,35,4,80,4,2,2008,Renault,Alpine F1 Team
187,35,5,39,6,1,2008,Toro Rosso,AlphaTauri
190,35,9,29,7,0,2008,Red Bull,Red Bull
185,35,3,26,8,0,2008,Williams,Williams
191,35,11,14,9,0,2008,Honda,Mercedes
192,35,10,0,10,0,2008,Force India,Aston Martin
13926,17,9,153.5,2,6,2009,Red Bull,Red Bull
13919,17,1,71,3,2,2009,McLaren,McLaren
13927,17,6,70,4,1,2009,Ferrari,Ferrari
13925,17,2,36,6,0,2009,BMW Sauber,Alfa Romeo
13922,17,3,34.5,7,0,2009,Williams,Williams
13921,17,4,26,8,0,2009,Renault,Alpine F1 Team
13924,17,10,13,9,0,2009,Force India,Aston Martin
13923,17,5,8,10,0,2009,Toro Rosso,AlphaTauri
24498,355,9,498,1,9,2010,Red Bull,Red Bull
24497,355,1,454,2,5,2010,McLaren,McLaren
24496,355,6,396,3,5,2010,Ferrari,Ferrari
24499,355,131,214,4,0,2010,Mercedes,Mercedes
24502,355,4,163,5,0,2010,Renault,Alpine F1 Team
24501,355,3,69,6,0,2010,Williams,Williams
24500,355,10,68,7,0,2010,Force India,Aston Martin
24505,355,15,44,8,0,2010,Sauber,Alfa Romeo
24503,355,5,13,9,0,2010,Toro Rosso,AlphaTauri
24754,859,9,650,1,12,2011,Red Bull,Red Bull
24755,859,1,497,2,6,2011,McLaren,McLaren
24757,859,6,375,3,1,2011,Ferrari,Ferrari
24763,859,131,165,4,0,2011,Mercedes,Mercedes
24756,859,4,73,5,0,2011,Renault,Alpine F1 Team
24759,859,10,69,6,0,2011,Force India,Aston Martin
24764,859,15,44,7,0,2011,Sauber,Alfa Romeo
24758,859,5,41,8,0,2011,Toro Rosso,AlphaTauri
24762,859,3,5,9,0,2011,Williams,Williams
25124,879,9,460,1,7,2012,Red Bull,Red Bull
25125,879,6,400,2,3,2012,Ferrari,Ferrari
25123,879,1,378,3,7,2012,McLaren,McLaren
25127,879,208,303,4,1,2012,Lotus F1,Alpine F1 Team
25130,879,131,142,5,1,2012,Mercedes,Mercedes
25126,879,15,126,6,0,2012,Sauber,Alfa Romeo
