points,position,wins,year,date,race_name,constructor
16,1,1,2000,2000-03-12,Australian,Ferrari
4,2,0,2000,2000-03-12,Australian,Williams
2,4,0,2000,2000-03-12,Australian,Alpine F1 Team
0,5,0,2000,2000-03-12,Australian,AlphaTauri
26,1,2,2000,2000-03-26,Brazilian,Ferrari
8,2,0,2000,2000-03-26,Brazilian,Alpine F1 Team
7,3,0,2000,2000-03-26,Brazilian,Aston Martin
7,4,0,2000,2000-03-26,Brazilian,Williams
0,7,0,2000,2000-03-26,Brazilian,AlphaTauri
39,1,3,2000,2000-04-09,San Marino,Ferrari
10,2,0,2000,2000-04-09,San Marino,McLaren
8,3,0,2000,2000-04-09,San Marino,Alpine F1 Team
7,4,0,2000,2000-04-09,San Marino,Aston Martin
7,5,0,2000,2000-04-09,San Marino,Williams
1,7,0,2000,2000-04-09,San Marino,Alfa Romeo
0,10,0,2000,2000-04-09,San Marino,AlphaTauri
43,1,3,2000,2000-04-23,British,Ferrari
26,2,1,2000,2000-04-23,British,McLaren
12,3,0,2000,2000-04-23,British,Williams
8,4,0,2000,2000-04-23,British,Alpine F1 Team
8,5,0,2000,2000-04-23,British,Aston Martin
1,7,0,2000,2000-04-23,British,Alfa Romeo
0,10,0,2000,2000-04-23,British,AlphaTauri
49,1,3,2000,2000-05-07,Spanish,Ferrari
42,2,2,2000,2000-05-07,Spanish,McLaren
15,3,0,2000,2000-05-07,Spanish,Williams
9,4,0,2000,2000-05-07,Spanish,Aston Martin
8,5,0,2000,2000-05-07,Spanish,Alpine F1 Team
1,7,0,2000,2000-05-07,Spanish,Alfa Romeo
0,10,0,2000,2000-05-07,Spanish,AlphaTauri
62,1,4,2000,2000-05-21,European,Ferrari
52,2,2,2000,2000-05-21,European,McLaren
15,3,0,2000,2000-05-21,European,Williams
10,4,0,2000,2000-05-21,European,Alpine F1 Team
9,5,0,2000,2000-05-21,European,Aston Martin
1,7,0,2000,2000-05-21,European,Alfa Romeo
0,10,0,2000,2000-05-21,European,AlphaTauri
68,1,4,2000,2000-06-04,Monaco,Ferrari
63,2,3,2000,2000-06-04,Monaco,McLaren
15,3,0,2000,2000-06-04,Monaco,Williams
14,4,0,2000,2000-06-04,Monaco,Alpine F1 Team
9,5,0,2000,2000-06-04,Monaco,Aston Martin
3,8,0,2000,2000-06-04,Monaco,Alfa Romeo
0,10,0,2000,2000-06-04,Monaco,AlphaTauri
84,1,5,2000,2000-06-18,Canadian,Ferrari
66,2,3,2000,2000-06-18,Canadian,McLaren
18,3,0,2000,2000-06-18,Canadian,Alpine F1 Team
15,4,0,2000,2000-06-18,Canadian,Williams
10,5,0,2000,2000-06-18,Canadian,Aston Martin
3,8,0,2000,2000-06-18,Canadian,Alfa Romeo
0,10,0,2000,2000-06-18,Canadian,AlphaTauri
88,1,5,2000,2000-07-02,French,Ferrari
82,2,4,2000,2000-07-02,French,McLaren
18,3,0,2000,2000-07-02,French,Alpine F1 Team
17,4,0,2000,2000-07-02,French,Williams
11,5,0,2000,2000-07-02,French,Aston Martin
3,8,0,2000,2000-07-02,French,Alfa Romeo
0,10,0,2000,2000-07-02,French,AlphaTauri
98,1,5,2000,2000-07-16,Austrian,McLaren
92,2,5,2000,2000-07-16,Austrian,Ferrari
19,3,0,2000,2000-07-16,Austrian,Williams
18,4,0,2000,2000-07-16,Austrian,Alpine F1 Team
11,6,0,2000,2000-07-16,Austrian,Aston Martin
4,7,0,2000,2000-07-16,Austrian,Alfa Romeo
0,10,0,2000,2000-07-16,Austrian,AlphaTauri
108,1,5,2000,2000-07-30,German,McLaren
102,2,6,2000,2000-07-30,German,Ferrari
22,3,0,2000,2000-07-30,German,Williams
18,4,0,2000,2000-07-30,German,Alpine F1 Team
11,6,0,2000,2000-07-30,German,Aston Martin
6,7,0,2000,2000-07-30,German,Alfa Romeo
0,10,0,2000,2000-07-30,German,AlphaTauri
122,1,6,2000,2000-08-13,Hungarian,McLaren
111,2,6,2000,2000-08-13,Hungarian,Ferrari
24,3,0,2000,2000-08-13,Hungarian,Williams
18,4,0,2000,2000-08-13,Hungarian,Alpine F1 Team
12,5,0,2000,2000-08-13,Hungarian,Aston Martin
6,7,0,2000,2000-08-13,Hungarian,Alfa Romeo
0,10,0,2000,2000-08-13,Hungarian,AlphaTauri
135,1,7,2000,2000-08-27,Belgian,McLaren
117,2,6,2000,2000-08-27,Belgian,Ferrari
30,3,0,2000,2000-08-27,Belgian,Williams
18,4,0,2000,2000-08-27,Belgian,Alpine F1 Team
13,5,0,2000,2000-08-27,Belgian,Aston Martin
6,7,0,2000,2000-08-27,Belgian,Alfa Romeo
0,10,0,2000,2000-08-27,Belgian,AlphaTauri
141,1,7,2000,2000-09-10,Italian,McLaren
127,2,7,2000,2000-09-10,Italian,Ferrari
34,3,0,2000,2000-09-10,Italian,Williams
20,4,0,2000,2000-09-10,Italian,Alpine F1 Team
13,5,0,2000,2000-09-10,Italian,Aston Martin
6,8,0,2000,2000-09-10,Italian,Alfa Romeo
0,10,0,2000,2000-09-10,Italian,AlphaTauri
143,1,8,2000,2000-09-24,United States,Ferrari
143,2,7,2000,2000-09-24,United States,McLaren
34,3,0,2000,2000-09-24,United States,Williams
20,4,0,2000,2000-09-24,United States,Alpine F1 Team
17,5,0,2000,2000-09-24,United States,Aston Martin
6,8,0,2000,2000-09-24,United States,Alfa Romeo
0,10,0,2000,2000-09-24,United States,AlphaTauri
156,1,9,2000,2000-10-08,Japanese,Ferrari
153,2,7,2000,2000-10-08,Japanese,McLaren
36,3,0,2000,2000-10-08,Japanese,Williams
20,4,0,2000,2000-10-08,Japanese,Alpine F1 Team
17,6,0,2000,2000-10-08,Japanese,Aston Martin
6,8,0,2000,2000-10-08,Japanese,Alfa Romeo
0,10,0,2000,2000-10-08,Japanese,AlphaTauri
170,1,10,2000,2000-10-22,Malaysian,Ferrari
162,2,7,2000,2000-10-22,Malaysian,McLaren
36,3,0,2000,2000-10-22,Malaysian,Williams
20,4,0,2000,2000-10-22,Malaysian,Alpine F1 Team
17,6,0,2000,2000-10-22,Malaysian,Aston Martin
6,8,0,2000,2000-10-22,Malaysian,Alfa Romeo
0,10,0,2000,2000-10-22,Malaysian,AlphaTauri
14,1,1,2001,2001-03-04,Australian,Ferrari
6,2,0,2001,2001-03-04,Australian,McLaren
4,3,0,2001,2001-03-04,Australian,Alfa Romeo
2,4,0,2001,2001-03-04,Australian,Aston Martin
0,9,0,2001,2001-03-04,Australian,AlphaTauri
0,10,0,2001,2001-03-04,Australian,Alpine F1 Team
30,1,2,2001,2001-03-18,Malaysian,Ferrari
11,2,0,2001,2001-03-18,Malaysian,McLaren
5,3,0,2001,2001-03-18,Malaysian,Aston Martin
4,4,0,2001,2001-03-18,Malaysian,Alfa Romeo
2,5,0,2001,2001-03-18,Malaysian,Williams
0,10,0,2001,2001-03-18,Malaysian,Alpine F1 Team
0,11,0,2001,2001-03-18,Malaysian,AlphaTauri
36,1,2,2001,2001-04-01,Brazilian,Ferrari
21,2,1,2001,2001-04-01,Brazilian,McLaren
8,3,0,2001,2001-04-01,Brazilian,Alfa Romeo
7,4,0,2001,2001-04-01,Brazilian,Aston Martin
2,6,0,2001,2001-04-01,Brazilian,Williams
1,7,0,2001,2001-04-01,Brazilian,Alpine F1 Team
0,11,0,2001,2001-04-01,Brazilian,AlphaTauri
40,1,2,2001,2001-04-15,San Marino,Ferrari
30,2,1,2001,2001-04-15,San Marino,McLaren
12,3,1,2001,2001-04-15,San Marino,Williams
10,4,0,2001,2001-04-15,San Marino,Aston Martin
8,5,0,2001,2001-04-15,San Marino,Alfa Romeo
1,7,0,2001,2001-04-15,San Marino,Alpine F1 Team
0,11,0,2001,2001-04-15,San Marino,AlphaTauri
50,1,3,2001,2001-04-29,Spanish,Ferrari
32,2,1,2001,2001-04-29,Spanish,McLaren
18,3,1,2001,2001-04-29,Spanish,Williams
13,4,0,2001,2001-04-29,Spanish,Aston Martin
9,5,0,2001,2001-04-29,Spanish,Alfa Romeo
1,7,0,2001,2001-04-29,Spanish,Alpine F1 Team
0,11,0,2001,2001-04-29,Spanish,AlphaTauri
60,1,3,2001,2001-05-13,Austrian,Ferrari
42,2,2,2001,2001-05-13,Austrian,McLaren
18,3,1,2001,2001-05-13,Austrian,Williams
13,4,0,2001,2001-05-13,Austrian,Aston Martin
12,5,0,2001,2001-05-13,Austrian,Alfa Romeo
1,8,0,2001,2001-05-13,Austrian,Alpine F1 Team
0,11,0,2001,2001-05-13,Austrian,AlphaTauri
76,1,4,2001,2001-05-27,Monaco,Ferrari
44,2,2,2001,2001-05-27,Monaco,McLaren
18,3,1,2001,2001-05-27,Monaco,Williams
13,4,0,2001,2001-05-27,Monaco,Aston Martin
12,6,0,2001,2001-05-27,Monaco,Alfa Romeo
1,9,0,2001,2001-05-27,Monaco,Alpine F1 Team
0,11,0,2001,2001-05-27,Monaco,AlphaTauri
82,1,4,2001,2001-06-10,Canadian,Ferrari
48,2,2,2001,2001-06-10,Canadian,McLaren
28,3,2,2001,2001-06-10,Canadian,Williams
15,4,0,2001,2001-06-10,Canadian,Alfa Romeo
13,5,0,2001,2001-06-10,Canadian,Aston Martin
1,10,0,2001,2001-06-10,Canadian,Alpine F1 Team
0,11,0,2001,2001-06-10,Canadian,AlphaTauri
94,1,5,2001,2001-06-24,European,Ferrari
53,2,2,2001,2001-06-24,European,McLaren
37,3,2,2001,2001-06-24,European,Williams
15,4,0,2001,2001-06-24,European,Alfa Romeo
13,5,0,2001,2001-06-24,European,Aston Martin
1,10,0,2001,2001-06-24,European,Alpine F1 Team
0,11,0,2001,2001-06-24,European,AlphaTauri
108,1,6,2001,2001-07-01,French,Ferrari
56,2,2,2001,2001-07-01,French,McLaren
43,3,2,2001,2001-07-01,French,Williams
16,4,0,2001,2001-07-01,French,Alfa Romeo
15,5,0,2001,2001-07-01,French,Aston Martin
1,10,0,2001,2001-07-01,French,Alpine F1 Team
0,11,0,2001,2001-07-01,French,AlphaTauri
118,1,6,2001,2001-07-15,British,Ferrari
66,2,3,2001,2001-07-15,British,McLaren
46,3,2,2001,2001-07-15,British,Williams
19,4,0,2001,2001-07-15,British,Alfa Romeo
15,5,0,2001,2001-07-15,British,Aston Martin
1,10,0,2001,2001-07-15,British,Alpine F1 Team
0,11,0,2001,2001-07-15,British,AlphaTauri
124,1,6,2001,2001-07-29,German,Ferrari
66,2,3,2001,2001-07-29,German,McLaren
56,3,3,2001,2001-07-29,German,Williams
19,4,0,2001,2001-07-29,German,Alfa Romeo
15,6,0,2001,2001-07-29,German,Aston Martin
6,7,0,2001,2001-07-29,German,Alpine F1 Team
0,11,0,2001,2001-07-29,German,AlphaTauri
140,1,7,2001,2001-08-19,Hungarian,Ferrari
72,2,3,2001,2001-08-19,Hungarian,McLaren
59,3,3,2001,2001-08-19,Hungarian,Williams
20,4,0,2001,2001-08-19,Hungarian,Alfa Romeo
15,6,0,2001,2001-08-19,Hungarian,Aston Martin
6,7,0,2001,2001-08-19,Hungarian,Alpine F1 Team
0,11,0,2001,2001-08-19,Hungarian,AlphaTauri
152,1,8,2001,2001-09-02,Belgian,Ferrari
81,2,3,2001,2001-09-02,Belgian,McLaren
59,3,3,2001,2001-09-02,Belgian,Williams
20,4,0,2001,2001-09-02,Belgian,Alfa Romeo
16,6,0,2001,2001-09-02,Belgian,Aston Martin
10,7,0,2001,2001-09-02,Belgian,Alpine F1 Team
0,11,0,2001,2001-09-02,Belgian,AlphaTauri
161,1,8,2001,2001-09-16,Italian,Ferrari
81,2,3,2001,2001-09-16,Italian,McLaren
73,3,4,2001,2001-09-16,Italian,Williams
20,4,0,2001,2001-09-16,Italian,Alfa Romeo
16,6,0,2001,2001-09-16,Italian,Aston Martin
10,7,0,2001,2001-09-16,Italian,Alpine F1 Team
0,11,0,2001,2001-09-16,Italian,AlphaTauri
167,1,8,2001,2001-09-30,United States,Ferrari
95,2,4,2001,2001-09-30,United States,McLaren
73,3,4,2001,2001-09-30,United States,Williams
21,4,0,2001,2001-09-30,United States,Alfa Romeo
19,5,0,2001,2001-09-30,United States,Aston Martin
10,7,0,2001,2001-09-30,United States,Alpine F1 Team
0,11,0,2001,2001-09-30,United States,AlphaTauri
179,1,9,2001,2001-10-14,Japanese,Ferrari
102,2,4,2001,2001-10-14,Japanese,McLaren
80,3,4,2001,2001-10-14,Japanese,Williams
21,4,0,2001,2001-10-14,Japanese,Alfa Romeo
19,5,0,2001,2001-10-14,Japanese,Aston Martin
10,7,0,2001,2001-10-14,Japanese,Alpine F1 Team
0,11,0,2001,2001-10-14,Japanese,AlphaTauri
10,1,1,2002,2002-03-03,Australian,Ferrari
6,2,0,2002,2002-03-03,Australian,Williams
